,name,Position,Academic Year,Height,Weight,Hometown,High School,Year,sport,Sport
17,James Ramsey, Outfield, Sr., 6' 0'' ,190 lbs ," Alpharetta, GA", Wesleyan HS,2011,baseball,
18,Brian Busch, Left-Handed Pitcher, Sr., 6' 2'' ,237 lbs ," Boca Raton, FL", West Boca Raton Community HS,2011,baseball,
19,Scott Sitz, Right-Handed Pitcher, Jr., 5' 10'' ,210 lbs ," Jacksonville Beach, FL", Fletcher HS,2011,baseball,
20,Mario Amaral, Catcher, Fr., 6' 1'' ,220 lbs ," Hialeah, FL", Ronald W. Reagan Senior High,2011,baseball,
21,Lee Howard, Catcher, Fr., 6' 0'' ,200 lbs ," Fleming Island, FL", Fleming Island HS,2011,baseball,
22,Hunter Scantling, Right Handed Pitcher, Sr., 6' 8'' ,270 lbs ," Jacksonville, FL", Episcopal HS,2011,baseball,
23,Sherman Johnson, Infield, Sr., 5' 10'' ,183 lbs ," Tampa, FL", Alonso HS,2011,baseball,
24,Bryant Holtmann, Left Handed Pitcher, Fr., 6' 5'' ,205 lbs ," Albers, IL", Breese Central HS,2011,baseball,
25,Brandon Leibrandt, Left Handed Pitcher, Fr., 6' 4'' ,205 lbs ," Alpharetta, GA", Marist School,2011,baseball,
26,Peter Miller, Right Hand Pitcher/Infield, So., 6' 2'' ,195 lbs ," Lutz, FL", Cambridge Christian HS,2011,baseball,
27,Michael Cetta, Right-Handed Pitcher, Fr., 6' 0'' ,198 lbs ," Miami, FL", Miami Palmetto HS,2011,baseball,
28,Mack Waugh, Right-Handed Pitcher, Sr., 6' 2'' ,185 lbs ," Naples, FL", Barron Collier,2011,baseball,
29,Brandon Johnson, Left Handed Pitcher, So., 6' 2'' ,205 lbs ," Tampa, FL", Alonso HS,2011,baseball,
30,Jose Brizuela, Infield/Outfield, Fr., 6' 0'' ,205 lbs ," Weston, FL", Archbishop McCarthy HS,2011,baseball,
0,Giovanny Alfonzo, Infield, So., 5' 11'' ,175 lbs ," Port St. Lucie, FL", Lincoln Park Academy,2012,baseball,
1,Josh Delph, Outifled, So., 6' 0'' ,190 lbs ," Bartow, FL", Bartow HS,2012,baseball,
2,John Nogowski, 1st Base, So., 6' 1'' ,210 lbs ," Tallahassee, FL", North Florida Christian,2012,baseball,
3,Billy Strode, Left Handed Pitcher, So., 6' 1'' ,185 lbs ," Parkland, FL", American Heritage High School,2012,baseball,
4,Luke Weaver, Right Handed Pitcher, So., 6' 2'' ,170 lbs ," DeLand, FL", DeLand HS,2012,baseball,
5,Dj Stewart," Outfield	6'0""", Fr., 6' 0'' ,230 lbs ," Yulee, FL", The Bolles School,2012,baseball,
6,Stephen Mcgee, Catcher, R-Jr., 6' 3'' ,230 lbs ," Port St. Lucie, FL", Port St. Lucie HS,2012,baseball,
7,Justin Gonzalez, Short Stop, Sr., 6' 3'' ,205 lbs ," Miami, FL", Columbus HS,2012,baseball,
8,John Sansone, Infield, Fr., 5' 11'' ,200 lbs ," New Castle, PA", Neshannock HS,2012,baseball,
9,John Holland, Infield, So., 5' 11'' ,175 lbs ," Johns Creek, GA", Northview HS,2012,baseball,
10,Kyle Bird, Left-Handed Pitcher, So., 6' 2'' ,195 lbs ," Orange Park, FL", Clay HS,2012,baseball,
11,Evan Geist, Left-Handed Pitcher, R-Fr., 6' 3'' ,195 lbs ," Roswell, GA", Marist HS,2012,baseball,
12,Alvin Swoope, Infield, Fr., 5' 8'' ,175 lbs ," Port St. Lucie, FL", Treasure Coast HS,2012,baseball,
13,Seth Miller, Outfield, Sr., 6' 2'' ,200 lbs ," Southport, FL", Mosley High,2012,baseball,
14,Gage Smith, Right Handed Pitcher, R-Jr., 6' 2'' ,190 lbs ," Tallahassee, FL", North Florida Christian,2012,baseball,
15,Jj Gould, Infield, Fr., 6' 0'' ,190 lbs ," Sarasota, FL", Sarasota HS,2012,baseball,
16,Brett Knief, Outfield, R-Jr., 6' 1'' ,198 lbs ," Ramsey, NJ", Don Bosco Prep,2012,baseball,
17,Marcus Davis, OF/1B, Jr., 6' 2'' ,215 lbs ," Cincinnati, OH",  Princeton High School,2012,baseball,
18,Dylan Silva, Left Handed Pitcher, Fr., 6' 1'' ,215 lbs ," Lake Worth, FL", American Heritage Boca-Delray HS,2012,baseball,
19,Scott Sitz, Right-Handed Pitcher, Sr., 5' 10'' ,210 lbs ," Jacksonville Beach, FL", Fletcher HS,2012,baseball,
20,Ryan Valdes, Outfield, Fr., 5' 11'' ,165 lbs ," Odessa, FL", Alonso HS,2012,baseball,
21,Lee Howard, Catcher, So., 6' 0'' ,200 lbs ," Fleming Island, FL", Fleming Island HS,2012,baseball,
22,Robby Coles, Right-Handed Pitcher, Jr., 6' 2'' ,175 lbs ," Crawfordville, FL", Wakulla High School,2012,baseball,
23,Ladson Montgomery, Catcher, Jr., 5' 9'' ,185 lbs ," St. Johns, FL", Creekside High School,2012,baseball,
24,Bryant Holtmann, Left Handed Pitcher, So., 6' 5'' ,205 lbs ," Albers, IL", Breese Central HS,2012,baseball,
25,Hayden Jordan, Right-Handed Pitcher, Jr., 6' 2'' ,220 lbs ," Peachtree, GA", Whitewater High School,2012,baseball,
26,Kenny Burkhead, Right Handed Pitcher, Fr., 6' 0'' ,195 lbs ," Deltona, FL", Trinity Christian Academy,2012,baseball,
27,Brandon Leibrandt, Left Handed Pitcher, So., 6' 4'' ,205 lbs ," Alpharetta, GA", Marist School,2012,baseball,
28,Peter Miller, Right Hand Pitcher/Infield, Jr., 6' 2'' ,195 lbs ," Lutz, FL", Cambridge Christian HS,2012,baseball,
29,Casey Smit, Infield, Jr., 5' 10'' ,170 lbs ," Tampa, FL", Alonso HS,2012,baseball,
30,Jameis Winston, Right Handed Pitcher/Outfield, Fr., 6' 4'' ,230 lbs ," Bessemer, Ala.", Hueytown HS,2012,baseball,
31,Brandon Johnson, Left Handed Pitcher, Jr., 6' 2'' ,205 lbs ," Tampa, FL", Alonso HS,2012,baseball,
32,Jose Brizuela, Infield/Outfield, So., 6' 0'' ,205 lbs ," Weston, FL", Archbishop McCarthy HS,2012,baseball,
0,Nick Graganella, Outfield, R-So., 5' 8'' ,175 lbs ," Tallahassee, FL", North Florida Christian,2013,baseball,
1,Josh Delph, Outfield, Jr., 6' 0'' ,190 lbs ," Bartow, FL", Bartow HS,2013,baseball,
2,John Nogowski, 1st Base, Jr., 6' 1'' ,210 lbs ," Tallahassee, FL", North Florida Christian,2013,baseball,
3,Billy Strode, Left Handed Pitcher, Jr., 6' 1'' ,185 lbs ," Parkland, FL", American Heritage High School,2013,baseball,
4,Luke Weaver, Right Handed Pitcher, Jr., 6' 2'' ,170 lbs ," DeLand, FL", DeLand HS,2013,baseball,
5,Dj Stewart, Outfield, So., 6' 0'' ,230 lbs ," Yulee, FL", The Bolles School,2013,baseball,
6,Justin Gonzalez, Short Stop, R-Sr., 6' 3'' ,NA," Miami, FL", Columbus HS,2013,baseball,
7,John Sansone, Infield, So., 5' 11'' ,200 lbs ," New Castle, PA", Neshannock HS,2013,baseball,
8,Danny De La Calle, Catcher, Jr., 6' 3'' ,220 lbs ," Miami, FL", Ferguson High School,2013,baseball,
9,Gage Smith, Right Handed Pitcher, R-Sr., 6' 2'' ,190 lbs ," Tallahassee, FL", North Florida Christian,2013,baseball,
10,Gage West, Catcher, Fr., 6' 1'' ,205 lbs ," Tallahassee, FL ", Lincoln High School,2013,baseball,
11,Brett Knief, Outfield, R-Sr., 6' 1'' ,198 lbs ," Ramsey, NJ", Don Bosco Prep,2013,baseball,
12,Dylan Silva, Left Handed Pitcher, So., 6' 1'' ,215 lbs ," Lake Worth, FL", American Heritage Boca-Delray HS,2013,baseball,
13,Matt Mulroy, Outfield, Jr., 6' 1'' ,215 lbs ," Boca Raton, FL", West Boca High School,2013,baseball,
14,Lee Howard, Catcher, Jr., 6' 0'' ,200 lbs ," Fleming Island, FL", Fleming Island HS,2013,baseball,
15,Will Zirzow, Right Handed Pitcher, Fr., 6' 5'' ,220 lbs ," Fleming Island, Fla.", The Bolles School,2013,baseball,
16,Alec Byrd, Left Handed Pitcher, Fr., 6' 3'' ,175 lbs ," Miami Shores, Fla.", St. Thomas Aquinas,2013,baseball,
17,Ladson Montgomery, Catcher, Sr., 5' 9'' ,185 lbs ," St. Johns, FL", Creekside High School,2013,baseball,
18,Bryant Holtmann, Left Handed Pitcher, Jr., 6' 5'' ,205 lbs ," Albers, IL", Breese Central HS,2013,baseball,
19,Kenny Burkhead, Right Handed Pitcher, So., 6' 0'' ,195 lbs ," Deltona, FL", Trinity Christian Academy,2013,baseball,
20,Brandon Leibrandt, Left Handed Pitcher, Jr., 6' 4'' ,205 lbs ," Alpharetta, GA", Marist School,2013,baseball,
21,Peter Miller, Right Hand Pitcher/Infield, Sr., 6' 2'' ,195 lbs ," Lutz, FL", Cambridge Christian HS,2013,baseball,
22,Casey Smit, Infield, Sr., 5' 10'' ,170 lbs ," Tampa, FL", Alonso HS,2013,baseball,
23,Jameis Winston, Right Handed Pitcher/Outfield, So., 6' 4'' ,230 lbs ," Bessemer, Ala.", Hueytown HS,2013,baseball,
24,Brandon Johnson, Left Handed Pitcher, Sr., 6' 2'' ,205 lbs ," Tampa, FL", Alonso HS,2013,baseball,
25,Jose Brizuela, Infield/Outfield, Jr., 6' 0'' ,205 lbs ," Weston, FL", Archbishop McCarthy HS,2013,baseball,
0,Nick Graganella, Outfield, R-Jr., 5' 8'' ,175 lbs ," Tallahassee, FL", North Florida Christian,2014,baseball,
1,Josh Delph, Outfield, Sr., 6' 0'' ,190 lbs ," Bartow, FL", Bartow HS,2014,baseball,
2,Darren Miller,  Infield/Catcher, Fr., 5' 8'' ,175 lbs ," Key West, FL", Key West,2014,baseball,
3,Billy Strode, Left Handed Pitcher, Sr., 6' 1'' ,185 lbs ," Parkland, FL", American Heritage High School,2014,baseball,
4,Steven Wells, Right Handed Pitcher/ Outfield, Fr., 6' 2'' ,175 lbs ," Kew West, Fla.", Key West,2014,baseball,
5,Dj Stewart, Outfield, Jr., 6' 0'' ,230 lbs ," Yulee, FL", The Bolles School,2014,baseball,
6,John Sansone, Infield, Jr., 5' 11'' ,200 lbs ," New Castle, PA", Neshannock HS,2014,baseball,
7,Danny De La Calle, Catcher, Sr., 6' 3'' ,220 lbs ," Miami, FL", Ferguson High School,2014,baseball,
8,Jackson Owens, Infield, Fr., 6' 0'' ,190 lbs ," Lake Dallas, TX", Lake Dallas HS,2014,baseball,
9,Taylor Blatch, Right Handed Pitcher, So., 5' 11'' ,160 lbs ," Stuart, FL", Jensen Beach HS,2014,baseball,
10,Gage West, Catcher, So., 6' 1'' ,205 lbs ," Tallahassee, FL ", Lincoln High School,2014,baseball,
11,Chris Marconcini, Infield, R-Sr., 6' 4'' ,230 lbs ," Brentwood, TN", Battle Ground Academy,2014,baseball,
12,Dylan Silva, Left Handed Pitcher, Jr., 6' 1'' ,215 lbs ," Lake Worth, FL", American Heritage Boca-Delray HS,2014,baseball,
13,Bret Maxwell, Catcher/INF, Fr., 5' 11'' ,200 lbs ," St Petersburg, FL", Northeast HS,2014,baseball,
14,Taylor Folsom, Left Handed Pitcher, Fr., 6' 3'' ,185 lbs ," Doerun, GA", Tiftarea Academy,2014,baseball,
15,Derek Vail, Right Handed Pitcher, Jr., 6' 4'' ,195 lbs ," Gainesville, FL",  Buchholz High School,2014,baseball,
16,Dylan Busby, Infield, Fr., 6' 3'' ,190 lbs ," Sarasota, Fla.", Sarasota,2014,baseball,
17,Will Zirzow, Right Handed Pitcher, R-Fr., 6' 5'' ,220 lbs ," Fleming Island, Fla.", The Bolles School,2014,baseball,
18,Alec Byrd, Left Handed Pitcher, So., 6' 3'' ,175 lbs ," Miami Shores, Fla.", St. Thomas Aquinas,2014,baseball,
19,Hayden Kelly, Infield/Outfield, Jr., 5' 10'' ,210 lbs ," Inverness, FL", Citrus High School,2014,baseball,
20,Bryant Holtmann, Left Handed Pitcher, Sr., 6' 5'' ,205 lbs ," Albers, IL", Breese Central HS,2014,baseball,
21,Boomer Biegalski, Right Handed Pitcher, So., 6' 2'' ,165 lbs ," Tallahassee, FL", Chiles High School,2014,baseball,
22,Alex Deise, Left Handed Pitcher, R-So., 6' 3190'' ,190 lbs ," St. Petersburg, FL", St. John’s College High School,2014,baseball,
23,Timmy Delph, Outfield, Fr., 5' 10'' ,165 lbs ," Bartow, FL", Bartow HS,2014,baseball,
24,Drew Carlton, Right Handed Pitcher, Fr., 6' 1'' ,207 lbs ," Lakeland, Fla.", George Jenkins,2014,baseball,
0,Nick Graganella, Outfield, R-Sr., 5' 8'' ,175 lbs ," Tallahassee, FL", North Florida Christian,2015,baseball,
1,Jackson Lueck, Outfield, Fr., 6' 1'' ,190 lbs ," Orlando, Fla.", Orangewood Christian,2015,baseball,
2,Cobi Johnson, Right Handed Pitcher, Jr., 6' 4'' ,210 lbs ," Holiday, Fla.", J.W. Mitchell,2015,baseball,
3,Steven Wells, Right Handed Pitcher/ Outfield, So., 6' 2'' ,175 lbs ," Kew West, Fla.", Key West,2015,baseball,
4,Andy Ward, Right Handed Pitcher, R-So., 6' 3'' ,200 lbs ," Oviedo, FL", Oviedo HS,2015,baseball,
5,Taylor Walls, Infield, So., 5' 10'' ,180 lbs ," Cordele, Ga.", Crisp County,2015,baseball,
6,John Sansone, Infield, Sr., 5' 11'' ,200 lbs ," New Castle, PA", Neshannock HS,2015,baseball,
7,Tyler Holton, LHP/OF, Fr., 6' 2'' ,200 lbs ," Tallahassee, Fla.", Lincoln,2015,baseball,
8,Hank Truluck, Infield/Outfield, Jr., 6' 1'' ,190 lbs ," Ocala, Fla.", Forest,2015,baseball,
9,Taylor Blatch, Right Handed Pitcher, R-So., 5' 11'' ,160 lbs ," Stuart, FL", Jensen Beach HS,2015,baseball,
10,Mike Compton, Right Handed Pitcher, R-Sr., 6' 2'' ,195 lbs ," Branson, MO", Branson HS,2015,baseball,
11,Ed Voyles, Right Handed Pitcher, R-So., 6' 7'' ,205 lbs ," Atlanta, Ga.", Holy Innocents Episcopal,2015,baseball,
12,Andrew Karp, Right Handed Pitcher, R-Fr., 6' 3'' ,210 lbs ," Winter Garden, Fla.", West Orange,2015,baseball,
13,Ben Deluzio, Outfield, Jr., 6' 3'' ,190 lbs ," Windermere, FL", The First Academy,2015,baseball,
14,Tyler Warmoth, Right Handed Pitcher, R-Sr., 6' 2'' ,215 lbs ," Orlando, FL", Lake Brantley High School,2015,baseball,
15,Matt Henderson, Infield, Jr., 5' 9'' ,165 lbs ," Chico, Calif.", Pleasant Valley,2015,baseball,
16,Ronnie Ramirez, Right Handed Pitcher, Fr., 5' 9'' ,180 lbs ," Tampa, Fla.", Jesuit,2015,baseball,
17,Cole Sands, Right Handed Pitcher, So., 6' 3'' ,210 lbs ," Tallahassee, Fla.", North Florida Christian,2015,baseball,
18,Dylan Busby, Infield, So., 6' 3'' ,190 lbs ," Sarasota, Fla.", Sarasota,2015,baseball,
19,Quincy Nieporte, Infield, Jr., 6' 1'' ,223 lbs ," Atlanta, Ga.", St. Pius X Catholic,2015,baseball,
20,Will Zirzow, Right Handed Pitcher, R-So., 6' 5'' ,220 lbs ," Fleming Island, Fla.", The Bolles School,2015,baseball,
21,Alec Byrd, Left Handed Pitcher, Jr., 6' 3'' ,175 lbs ," Miami Shores, Fla.", St. Thomas Aquinas,2015,baseball,
22,Hayden Kelly, Infield/Outfield, Sr., 5' 10'' ,210 lbs ," Inverness, FL", Citrus High School,2015,baseball,
23,Chase Haney, Right Handed Pitcher, Fr., 6' 6'' ,225 lbs ," Winter Garden, Fla.", Windermere Prep,2015,baseball,
24,Cal Raleigh, Catcher, Fr., 6' 3'' ,205 lbs ," Cullowhee, N.C.", Smoky Mountain,2015,baseball,
25,Dillon Brown, Right Handed Pitcher, Fr., 6' 0'' ,170 lbs ," Lynn Haven, Fla.", Mosley,2015,baseball,
26,Alex Deise, Left Handed Pitcher, R-Jr., 6' 3'' ,190 lbs ," St. Petersburg, FL", St. John’s College High School,2015,baseball,
27,Jared Middleton, Left Handed Pitcher, Fr., 5' 10'' ,215 lbs ," Lakeland, Fla.", George Jenkins,2015,baseball,
28,Drew Carlton, Right Handed Pitcher, So., 6' 1'' ,207 lbs ," Lakeland, Fla.", George Jenkins,2015,baseball,
29,Bryan Bussey, Catcher, Jr., 6' 2'' ,220 lbs ," Weaverville, N.C.", North Buncombe,2015,baseball,
0,Jackson Lueck, Outfield, So., 6' 1'' ,190 lbs ," Orlando, Fla.", Orangewood Christian,2016,baseball,
1,Nick Derr, Infield, Fr.,NA,190 lbs ," Lakewood Ranch, Fla.", Sarasota,2016,baseball,
2,Justin Sorokowski, Right Hand Pitcher/Infield, Fr., 6' 2'' ,205 lbs ," Mechanicsville, Va.", Lee Davis,2016,baseball,
3,Cobi Johnson, Right Handed Pitcher, Jr., 6' 4'' ,210 lbs ," Holiday, Fla.", J.W. Mitchell,2016,baseball,
4,Steven Wells, Right Handed Pitcher/ Outfield, Jr., 6' 2'' ,175 lbs ," Kew West, Fla.", Key West,2016,baseball,
5,J.C. Flowers, Right Handed Pitcher/Outfield, Fr., 6' 2'' ,185 lbs ," Orange Park, Fla.", Trinity Christian Academy,2016,baseball,
6,Tyler Daughtry, Infield, Fr., 5' 10'' ,180 lbs ," Warner Robins, Ga.", Veterans,2016,baseball,
7,Taylor Walls, Shortstop, Jr., 5' 10'' ,180 lbs ," Cordele, Ga.", Crisp County,2016,baseball,
8,Brandon Reitz, Right Handed Pitcher, Fr., 6' 1'' ,175 lbs ," Ocala, Fla.", Trinity Catholic,2016,baseball,
9,Tyler Holton, LHP/OF, So., 6' 2'' ,200 lbs ," Tallahassee, Fla.", Lincoln,2016,baseball,
10,Hank Truluck, Utility, Sr., 6' 1'' ,190 lbs ," Ocala, Fla.", Forest,2016,baseball,
11,Clayton Kwiatkowski, Left Handed Pitcher, Fr., 6' 2'' ,215 lbs ," Tampa, Fla.", Jesuit,2016,baseball,
12,Ed Voyles, Right Handed Pitcher, R-Jr., 6' 7'' ,205 lbs ," Atlanta, Ga.", Holy Innocents Episcopal,2016,baseball,
13,Andrew Karp, Right Handed Pitcher, R-So., 6' 3'' ,210 lbs ," Winter Garden, Fla.", West Orange,2016,baseball,
14,Kyle Cavanaugh, 1st Base, R-Jr., 6' 5'' ,230 lbs ," Winter Park, Fla.", Trinity Prep,2016,baseball,
15,Alex Carpenter, Right Handed Pitcher, Jr., 6' 1'' ,195 lbs ," Satellite Beach, Fla.", Melbourne Central Catholic,2016,baseball,
16,Drew Mendoza, Infield, Fr., 6' 4'' ,210 lbs ," Minneola, Fla.", Lake Minneola,2016,baseball,
17,Ryan Mejia, Utility, Fr., 6' 1'' ,190 lbs ," Tampa, Fla.", Alonso,2016,baseball,
18,Matt Henderson, Infield, Sr., 5' 9'' ,165 lbs ," Chico, Calif.", Pleasant Valley,2016,baseball,
19,Jared Herron, Catcher, Fr., 6' 1'' ,210 lbs ," Orlando, Fla.", Trinity Prep,2016,baseball,
20,Ronnie Ramirez, Right Handed Pitcher, So., 5' 9'' ,180 lbs ," Tampa, Fla.", Jesuit,2016,baseball,
21,Cole Sands, Right Handed Pitcher, So., 6' 3'' ,210 lbs ," Tallahassee, Fla.", North Florida Christian,2016,baseball,
22,Dylan Busby, Infield, Jr., 6' 3'' ,190 lbs ," Sarasota, Fla.", Sarasota,2016,baseball,
23,Quincy Nieporte, First Baseman, Sr., 6' 1'' ,223 lbs ," Atlanta, Ga.", St. Pius X Catholic,2016,baseball,
24,Will Zirzow, Right Handed Pitcher, R-Jr., 6' 5'' ,220 lbs ," Fleming Island, Fla.", The Bolles School,2016,baseball,
25,Alec Byrd, Left Handed Pitcher, Sr., 6' 3'' ,175 lbs ," Miami Shores, Fla.", St. Thomas Aquinas,2016,baseball,
26,Grant Stewart, Left Handed Pitcher, Fr., 5' 10'' ,170 lbs ," Paxton, Fla.", Paxton,2016,baseball,
27,Chase Haney, Right Handed Pitcher, So., 6' 6'' ,225 lbs ," Winter Garden, Fla.", Windermere Prep,2016,baseball,
28,Cal Raleigh, Catcher, So., 6' 3'' ,205 lbs ," Cullowhee, N.C.", Smoky Mountain,2016,baseball,
29,Dillon Brown, Right Handed Pitcher, R-Fr., 6' 0'' ,170 lbs ," Lynn Haven, Fla.", Mosley,2016,baseball,
30,Rhett Aplin, Outfield, Jr., 6' 2'' ,220 lbs ," Fleming Island, Fla.", Fleming Island,2016,baseball,
31,Jim Voyles, Right Handed Pitcher, Sr., 6' 7'' ,205 lbs ," Atlanta, Ga.", Holy Innocents Episcopal,2016,baseball,
32,Drew Parrish, LHP, Fr., 5' 11'' ,180 lbs ," Rockledge, Fla.", Rockledge,2016,baseball,
33,Drew Carlton, Right Handed Pitcher, Jr., 6' 1'' ,207 lbs ," Lakeland, Fla.", George Jenkins,2016,baseball,
34,Bryan Bussey, Catcher, Sr., 6' 2'' ,220 lbs ," Weaverville, N.C.", North Buncombe,2016,baseball,
0,Skylar Frey, Outfielder, Jr., 6' 0'' ,182 lbs ," Sarasota, Fla.", Sarasota,2017,baseball,
1,Jackson Lueck, Outfielder, Jr., 6' 1'' ,185 lbs ," Orlando, Fla.", Orangewood Christian,2017,baseball,
2,Nick Derr, Infielder, So., 6' 0'' ,185 lbs ," Lakewood Ranch, Fla.", Sarasota,2017,baseball,
3,Shane Drohan, Left Handed Pitcher, Fr., 6' 3'' ,194 lbs ," West Palm Beach, Fla.", Cardinal Newman,2017,baseball,
4,Cobi Johnson, Right Handed Pitcher, R-Jr., 6' 4'' ,220 lbs ," Holiday, Fla.", J.W. Mitchell,2017,baseball,
5,Steven Wells, Outfielder, Sr., 6' 2'' ,180 lbs ," Kew West, Fla.", Key West,2017,baseball,
6,J.C. Flowers, Outfielder/Right Handed Pitcher, So., 6' 2'' ,185 lbs ," Orange Park, Fla.", Trinity Christian Academy,2017,baseball,
7,Cooper Swanson, Infielder, Fr., 6' 1'' ,196 lbs ," Fort Myers, Fla.", Canterbury School,2017,baseball,
8,Tyler Daughtry, Infielder, So., 5' 10'' ,190 lbs ," Warner Robins, Ga.", Veterans,2017,baseball,
9,Tyler Ahearn, Right Handed Pitcher, Fr., 6' 2'' ,185 lbs ," Jupiter, Fla.", IMG Academy,2017,baseball,
10,Jonah Scolaro, Left Handed Pitcher, Fr., 5' 9'' ,180 lbs ," Valrico, Fla.", Durant,2017,baseball,
11,Tyler Holton, Left Handed Pitcher/First Baseman, Jr., 6' 2'' ,210 lbs ," Tallahassee, Fla.", Lincoln,2017,baseball,
12,Cj  Van Eyk, Right Handed Pitcher, Fr., 6' 1'' ,185 lbs ," Lutz, Fla.", Steinbrenner,2017,baseball,
13,Mike Salvatore, Infielder, Jr., 6' 0'' ,177 lbs ," Ewing, N.J.", Ewing,2017,baseball,
14,Clayton Kwiatkowski, Left Handed Pitcher, So., 6' 2'' ,205 lbs ," Tampa, Fla.", Jesuit,2017,baseball,
15,Ed Voyles, Right Handed Pitcher, R-Sr., 6' 7'' ,216 lbs ," Atlanta, Ga.", Holy Innocents Episcopal,2017,baseball,
16,Andrew Karp, Right Handed Pitcher, R-Jr., 6' 2'' ,225 lbs ," Winter Garden, Fla.", West Orange,2017,baseball,
17,Kyle Cavanaugh, First Baseman, R-Sr., 6' 5'' ,230 lbs ," Winter Park, Fla.", Trinity Prep,2017,baseball,
18,Alex Carpenter, Right Handed Pitcher, R-Jr., 6' 1'' ,199 lbs ," Satellite Beach, Fla.", Melbourne Central Catholic,2017,baseball,
19,Drew Mendoza, Infielder, So., 6' 5'' ,225 lbs ," Minneola, Fla.", Lake Minneola,2017,baseball,
20,Reese Albert, Outfielder/Left Handed Pitcher, Fr., 6' 2'' ,197 lbs ," Jupiter, Fla.", Jupiter,2017,baseball,
21,Jared Herron, Outfielder, R-Fr., 6' 0'' ,215 lbs ," Orlando, Fla.", Trinity Prep,2017,baseball,
22,Ronnie Ramirez, Right Handed Pitcher, R-So., 5' 9'' ,198 lbs ," Tampa, Fla.", Jesuit,2017,baseball,
23,Cole Sands, Right Handed Pitcher, Jr., 6' 3'' ,220 lbs ," Tallahassee, Fla.", North Florida Christian,2017,baseball,
24,Rafael Bournigal, Infielder, Sr., 5' 11'' ,180 lbs ," Mulberry, Fla.", Lakeland Christian School,2017,baseball,
25,Casey Cribb, Catcher, R-Jr., 6' 2'' ,190 lbs ," Jacksonville, Fla.", Providence,2017,baseball,
26,Austin Pollock, Left Handed Pitcher, Fr., 6' 3'' ,180 lbs ," Tallahassee, Fla.", Lincoln,2017,baseball,
27,Will Zirzow, Right Handed Pitcher, R-Sr., 6' 5'' ,240 lbs ," Fleming Island, Fla.", The Bolles School,2017,baseball,
28,Conor Grady, Right Handed Pitcher, Fr., 6' 2'' ,187 lbs ," Tampa, Fla.", Tampa Catholic,2017,baseball,
29,Chase Haney, Right Handed Pitcher, Jr., 6' 6'' ,225 lbs ," Winter Garden, Fla.", Windermere Prep,2017,baseball,
30,Cal Raleigh, Catcher, Jr., 6' 3'' ,225 lbs ," Cullowhee, N.C.", Smoky Mountain,2017,baseball,
31,Jonathan Foster, Catcher/First Baseman, Jr., 6' 0'' ,200 lbs ," LaGrange, Ga.", Troup County,2017,baseball,
32,Rhett Aplin, Outfielder, Sr., 6' 2'' ,220 lbs ," Fleming Island, Fla.", Fleming Island,2017,baseball,
33,Drew Parrish, Left Handed Pitcher, So., 5' 11'' ,180 lbs ," Rockledge, Fla.", Rockledge,2017,baseball,
34,Gage Hutchinson, Right Handed Pitcher, R-Jr., 6' 1'' ,185 lbs ," Port Orange, Fla.", Spruce Creek,2017,baseball,
