,Name,Hometown,High School,Year,sport
11,Patrick McElroy,"Brookline, Mass.",Noble and Greenough,2018,msquash
12,Jarett Odrich,"Greenwich, Conn.",Brunswick,2018,msquash
13,Henry Woodworth,"Weston, Mass.",Weston,2018,msquash
14,Glenn Yates,"Cape Town, South Africa",Bishops Diocesan,2018,msquash
0,Andrew Braff,"Locust Valley, N.Y.",St. George's,2019,msquash
1,William Braff,"Locust Valley, N.Y.",St. George's,2019,msquash
2,Teddy Durfee,"Bedford, N.Y.",Deerfield Academy,2019,msquash
3,Omar El Torkey,"New Cairo, Egypt",Green Heights International School,2019,msquash
4,Toby Hansford,"Darien, Conn.",Darien,2019,msquash
5,Will Holey,"Greenwich, Conn.",Brunswick,2019,msquash
6,Aly Hussein,"Cairo, Egypt",Tabor Academy,2019,msquash
7,Harrison Kapp,"Philadelphia, Pa.",Chestnut Hill Academy,2019,msquash
8,Matthew Katz,"Baltimore, Md.",Gilman,2019,msquash
9,Christian Kohlmeyer,"Lake Forest, Ill.",The Hotchkiss,2019,msquash
10,Cullen Little,"Baltimore, Md.",McDonogh,2019,msquash
11,Tyler Mackesy,"Bronxville, N.Y.",Hotchkiss School,2019,msquash
12,Peter Miller,"Bryn Mawr, Pa.",The Haverford School,2019,msquash
13,Glenn Yates,"Cape Town, South Africa",Bishops Diocesan,2019,msquash
0,Drew Barr,"Bloomfield Hills, Mich.",Detroit Country Day,2020,msquash
1,Andrew Braff,"Locust Valley, N.Y.",St. George's,2020,msquash
2,William Braff,"Locust Valley, N.Y.",St. George's,2020,msquash
3,Taha Dinana,"Cairo, Egypt",The Masters School (Conn.),2020,msquash
4,Teddy Durfee,"Bedford, N.Y.",Deerfield Academy,2020,msquash
5,Omar El Torkey,"New Cairo, Egypt",Green Heights International School,2020,msquash
6,Will Holey,"Greenwich, Conn.",Brunswick,2020,msquash
7,Aly Hussein,"Cairo, Egypt",Tabor Academy,2020,msquash
8,Matthew Katz,"Baltimore, Md.",Gilman,2020,msquash
9,Christian Kohlmeyer,"Lake Forest, Ill.",Hotchkiss School,2020,msquash
10,Cullen Little,"Baltimore, Md.",McDonogh,2020,msquash
11,Tyler Mackesy,"Bronxville, N.Y.",Hotchkiss School,2020,msquash
12,Myles McIntyre,"Andover, Mass.",St. Paul’s School,2020,msquash
13,Peter Miller,"Bryn Mawr, Pa.",The Haverford School,2020,msquash
14,Maxwell Velazquez,"Brooklyn, N.Y.",Leman Manhattan Prep School,2020,msquash
0,CJ Baldini,"West Hartford, Conn.",Avon Old Farms School,2021,msquash
1,Drew Barr,"Bloomfield Hills, Mich.",Detroit Country Day,2021,msquash
2,Charles Braff,"Locust Valley, N.Y.",Deerfield Academy,2021,msquash
3,Taha Dinana,"Cairo, Egypt",The Masters School (Conn.),2021,msquash
4,Teddy Durfee,"Bedford, N.Y.",Deerfield Academy,2021,msquash
5,Omar El Torkey,"New Cairo, Egypt",Green Heights International School,2021,msquash
6,Evan Hajek,"Charlottesville, Va.",Western Albemarle,2021,msquash
7,Will Holey,"Greenwich, Conn.",Brunswick,2021,msquash
8,Aly Hussein,"Cairo, Egypt",Tabor Academy,2021,msquash
9,Cullen Little,"Baltimore, Md.",McDonogh,2021,msquash
10,Tyler Mackesy,"Bronxville, N.Y.",Hotchkiss School,2021,msquash
11,Myles McIntyre,"Andover, Mass.",St. Paul’s School,2021,msquash
12,Maxwell Velazquez,"Brooklyn, N.Y.",Leman Manhattan Prep School,2021,msquash
0,CJ Baldini,"West Hartford, Conn.",Avon Old Farms School,2022,msquash
1,Drew Barr,"Bloomfield Hills, Mich.",Detroit Country Day,2022,msquash
2,Charles Braff,"Locust Valley, N.Y.",Deerfield Academy,2022,msquash
3,Taha Dinana,"Cairo, Egypt",The Masters School (Conn.),2022,msquash
4,Teddy Durfee,"Bedford, N.Y.",Deerfield Academy,2022,msquash
5,Omar El Torkey,"New Cairo, Egypt",Green Heights International School,2022,msquash
6,Evan Hajek,"Charlottesville, Va.",Western Albemarle,2022,msquash
7,Aly Hussein,"Cairo, Egypt",Tabor Academy,2022,msquash
8,Patrick Keller,"Rye, N.Y.",Brunswick School,2022,msquash
9,Cullen Little,"Baltimore, Md.",McDonogh,2022,msquash
10,Tyler Mackesy,"Bronxville, N.Y.",Hotchkiss School,2022,msquash
11,Myles McIntyre,"Andover, Mass.",St. Paul’s School,2022,msquash
12,JP Tew,"Cincinnati, Ohio",Loveland High School,2022,msquash
13,Maxwell Velazquez,"Brooklyn, N.Y.",Leman Manhattan Prep School,2022,msquash
0,CJ Baldini,"West Hartford, Conn.",Avon Old Farms School,2023,msquash
1,Drew Barr,"Bloomfield Hills, Mich.",Detroit Country Day,2023,msquash
2,Charles Braff,"Locust Valley, N.Y.",Deerfield Academy,2023,msquash
3,Arhan Chandra,"Sugar Land, Texas",,2023,msquash
4,Taha Dinana,"Cairo, Egypt",The Masters School (Conn.),2023,msquash
5,Evan Hajek,"Charlottesville, Va.",Western Albemarle,2023,msquash
6,Patrick Keller,"Rye, N.Y.",Brunswick School,2023,msquash
7,Myles McIntyre,"Andover, Mass.",St. Paul’s School,2023,msquash
8,Krishna Mishra,"Indore, India",,2023,msquash
9,Dylan Moran,"Dublin, Ireland",,2023,msquash
10,Petr Nohel,"Prague, Czech Republic",,2023,msquash
11,JP Tew,"Cincinnati, Ohio",Loveland High School,2023,msquash
12,Maxwell Velazquez,"Brooklyn, N.Y.",Leman Manhattan Prep School,2023,msquash
0,Tara Arya,"Cupertino, Calif.",Monta Vista,2017,wsquash
1,Elle Carroll,"New York, N.Y.",Taft,2017,wsquash
2,Candace Craig,"Crozet, Va.",Wakefield School,2017,wsquash
3,Carey Danforth,"Greenwich, Conn.",Deerfield Academy,2017,wsquash
4,Sarah Doss,"Richmond, Va.",Episcopal,2017,wsquash
5,Isabelle Ezratty,"Greenwich, Conn.",Greenwich Academy,2017,wsquash
6,Sara Keene,"Wellesley, Mass.",Noble and Greenough,2017,wsquash
7,Laura Kister,"Princeton, N.J.",,2017,wsquash
8,Lois Lo,Hong Kong,Hotchkiss,2017,wsquash
9,Madeleine Mayhew,"New York, N.Y.",Phillips Academy Andover,2017,wsquash
10,Molly Prockop,"Groton, Mass.",Groton,2017,wsquash
11,Isabel Stack,"Millbrook, N.Y.",Taft,2017,wsquash
12,Grey Sylvester,"New York, N.Y.",Saint Paul's School,2017,wsquash
13,Julia Thompson,"Newtown Square, Pa.",Episcopal Academy,2017,wsquash
14,Annie Tyson,"Flourtown, Pa.",Germantown Friends,2017,wsquash
15,Giovanna Veiga de Almeida,"Belo Horizonte, Brazil",,2017,wsquash
16,Emily Woodworth,"Weston, Mass.",Noble and Greenough,2017,wsquash
0,Tara Arya,"Cupertino, Calif.",Monta Vista,2018,wsquash
1,Caroline Baldwin,"Rye, N.Y.",Rye High School,2018,wsquash
2,Elle Carroll,"New York, N.Y.",Taft,2018,wsquash
3,Candace Craig,"Crozet, Va.",Wakefield School,2018,wsquash
4,Sarah Doss,"Richmond, Va.",Episcopal,2018,wsquash
5,Isabelle Ezratty,"Greenwich, Conn.",Greenwich Academy,2018,wsquash
6,Mandy Haywood,"Christ Church, Barbados",,2018,wsquash
7,Emma Jinks,"Stratford, Canada",Charlottetown Rural,2018,wsquash
8,Lois Lo,Hong Kong,Hotchkiss,2018,wsquash
9,Madeleine Mayhew,"New York, N.Y.",Phillips Academy Andover,2018,wsquash
10,Julia Thompson,"Newtown Square, Pa.",Episcopal Academy,2018,wsquash
11,Annie Tyson,"Flourtown, Pa.",Germantown Friends,2018,wsquash
12,Giovanna Veiga de Almeida,"Belo Horizonte, Brazil",,2018,wsquash
13,Emily Woodworth,"Weston, Mass.",Noble and Greenough,2018,wsquash
0,Tara Arya,"Cupertino, Calif.",Monta Vista,2019,wsquash
1,Caroline Baldwin,"Rye, N.Y.",Rye High School,2019,wsquash
2,Elle Carroll,"New York, N.Y.",Taft,2019,wsquash
3,Julia Curran,"Bronxville, N.Y.",Bronxville,2019,wsquash
4,Sarah Doss,"Richmond, Va.",Episcopal,2019,wsquash
5,Isabelle Ezratty,"Greenwich, Conn.",Greenwich Academy,2019,wsquash
6,Mandy Haywood,"Christ Church, Barbados",,2019,wsquash
7,Emma Jinks,"Stratford, Canada",Charlottetown Rural,2019,wsquash
8,Lois Lo,Hong Kong,Hotchkiss,2019,wsquash
9,Sydney Maxwell,"Toronto, Ontario",Bayview Glen School,2019,wsquash
10,Maria Paula Moya,"Ambato, Ecuador",CEBI,2019,wsquash
11,Grace Seymour,"Brooklyn Heights, N.Y.",Packer Collegiate Institute,2019,wsquash
12,Julia Thompson,"Newtown Square, Pa.",Episcopal Academy,2019,wsquash
13,Giovanna Veiga de Almeida,"Belo Horizonte, Brazil",,2019,wsquash
14,Emily Woodworth,"Weston, Mass.",Noble and Greenough,2019,wsquash
0,Caroline Baldwin,"Rye, N.Y.",Rye High School,2020,wsquash
1,Meagan Best,"Christ Church, Barbados",Choate Rosemary Hall,2020,wsquash
2,Julia Curran,"Bronxville, N.Y.",Bronxville,2020,wsquash
3,Griffin Dewey,"New Canaan, CT",Deerfield Academy,2020,wsquash
4,Mandy Haywood,"Christ Church, Barbados",,2020,wsquash
5,Emma Jinks,"Stratford, Canada",Charlottetown Rural,2020,wsquash
6,Sydney Maxwell,"Toronto, Ontario",Bayview Glen School,2020,wsquash
7,Maria Paula Moya,"Ambato, Ecuador",CEBI,2020,wsquash
8,Erin O'Connor,"Greenwich, Conn.",Sacred Heart Greenwich,2020,wsquash
9,Grace Seymour,"Brooklyn Heights, N.Y.",Packer Collegiate Institute,2020,wsquash
10,Giovanna Veiga de Almeida,"Belo Horizonte, Brazil",,2020,wsquash
11,Olivia Walsh,"Bryn Mawr, Penn.",Agnes Irwin School,2020,wsquash
12,Emily Woodworth,"Weston, Mass.",Noble and Greenough,2020,wsquash
0,Caroline Baldwin,"Rye, N.Y.",Rye High School,2021,wsquash
1,Meagan Best,"Christ Church, Barbados",Choate Rosemary Hall,2021,wsquash
2,Julia Curran,"Bronxville, N.Y.",Bronxville,2021,wsquash
3,Griffin Dewey,"New Canaan, CT",Deerfield Academy,2021,wsquash
4,Maureen Foley,"Buffalo, N.Y.",Nichols School,2021,wsquash
5,Mandy Haywood,"Christ Church, Barbados",,2021,wsquash
6,Emma Jinks,"Stratford, Canada",Charlottetown Rural,2021,wsquash
7,Annabelle MacTaggart,"Greenwich, Conn.",Greenwich Academy,2021,wsquash
8,Sydney Maxwell,"Toronto, Ontario",Bayview Glen School,2021,wsquash
9,Maria Paula Moya,"Ambato, Ecuador",CEBI,2021,wsquash
10,Erin O'Connor,"Greenwich, Conn.",Sacred Heart Greenwich,2021,wsquash
11,Caroline Pellegrino,"New Canaan, Conn.",St. Luke's,2021,wsquash
12,Grace Seymour,"Brooklyn Heights, N.Y.",Packer Collegiate Institute,2021,wsquash
13,Nicolina Tessitore,"Wallingford, Conn.",Choate Rosemary Hall,2021,wsquash
14,Olivia Walsh,"Bryn Mawr, Penn.",Agnes Irwin School,2021,wsquash
0,Meagan Best,"Christ Church, Barbados",Choate Rosemary Hall,2022,wsquash
1,Julia Curran,"Bronxville, N.Y.",Bronxville,2022,wsquash
2,Griffin Dewey,"New Canaan, CT",Deerfield Academy,2022,wsquash
3,Maureen Foley,"Buffalo, N.Y.",Nichols School,2022,wsquash
4,Emma Jinks,"Stratford, Canada",Charlottetown Rural,2022,wsquash
5,Annabelle MacTaggart,"Greenwich, Conn.",Greenwich Academy,2022,wsquash
6,Sydney Maxwell,"Toronto, Ontario",Bayview Glen School,2022,wsquash
7,Eliza Mills,"Stamford, Conn.",School of the Holy Child,2022,wsquash
8,Maria Paula Moya,"Ambato, Ecuador",CEBI,2022,wsquash
9,Erin O'Connor,"Greenwich, Conn.",Sacred Heart Greenwich,2022,wsquash
10,Caroline Pellegrino,"New Canaan, Conn.",St. Luke's,2022,wsquash
11,Nina Shah Hashmi,"Marin, Calif.",Choate Rosemary Hall,2022,wsquash
12,Lina Sherif Tammam,"Alexandria, Egypt",International American School,2022,wsquash
13,Nicolina Tessitore,"Wallingford, Conn.",Choate Rosemary Hall,2022,wsquash
14,Olivia Walsh,"Bryn Mawr, Penn.",Agnes Irwin School,2022,wsquash
0,Meagan Best,"Christ Church, Barbados",Choate Rosemary Hall,2023,wsquash
1,Griffin Dewey,"New Canaan, CT",Deerfield Academy,2023,wsquash
2,Maureen Foley,"Buffalo, N.Y.",Nichols School,2023,wsquash
3,Annabelle MacTaggart,"Greenwich, Conn.",Greenwich Academy,2023,wsquash
4,Eliza Mills,"Stamford, Conn.",School of the Holy Child,2023,wsquash
5,Clare Minnis,"Bryn Mawr, Pa.",,2023,wsquash
6,Maria Paula Moya,"Ambato, Ecuador",CEBI,2023,wsquash
7,Erin O'Connor,"Greenwich, Conn.",Sacred Heart Greenwich,2023,wsquash
8,Caroline Pellegrino,"New Canaan, Conn.",St. Luke's,2023,wsquash
9,Nina Shah Hashmi,"Marin, Calif.",Choate Rosemary Hall,2023,wsquash
10,Lina Sherif Tammam,"Alexandria, Egypt",International American School,2023,wsquash
11,Nili Sprecher,"Rye Brook, N.Y.",Blind Brook School,2023,wsquash
12,Olivia Walsh,"Bryn Mawr, Penn.",Agnes Irwin School,2023,wsquash
0,Jonathan Buerger,"Wexford, Pa.",North Allegheny,2013,swimming
1,Carl Buergler,"Arlington, Va.",Washington-Lee,2013,swimming
2,Zach Bunner,"Marietta, Ga.",Lassiter,2013,swimming
3,Parker Camp,"Brentwood, Tenn.",Brentwood,2013,swimming
4,Fred Crawford,"Arlington, Va.",Washington-Lee,2013,swimming
5,Jan Daniec,"Mission Viejo, Calif.",Mission Viejo,2013,swimming
6,John Denning,"Chesapeake, Va.",Great Bridge,2013,swimming
7,Kyle Dudzinski,"Pittsburgh, Pa.",Upper St. Clair,2013,swimming
8,Gabriel Espinosa,"Phoenix, Ariz.",Brophy Prep,2013,swimming
9,Rodney Fentress,"Virginia Beach, Va.",Atlee,2013,swimming
10,Serge Gould,"Bethesda, Md.",Walt Whitman,2013,swimming
11,Taylor Grey,"Williston, Vt.",Champlain Valley,2013,swimming
12,Nathan Hart,"Asheville, N.C.",Home School,2013,swimming
13,Eric Holden,"Orange, Conn.",Amity Regional,2013,swimming
14,David Ingraham,"Spartanburg, SC.",Spartanburg,2013,swimming
15,Yannick Kaeser,"Mumpf, Switzerland",Gymnasium Baeumlihof,2013,swimming
16,JB Kolod,"Pittsburgh, Pa.",Fox Chapel,2013,swimming
17,Robert Leasure,"Louisville, Ky.",St. Xavier,2013,swimming
18,Matt Lockman,"Charlottesville, Va.",Albemarle,2013,swimming
19,Barry Mangold,"Rockville, Md.",Walter Johnson,2013,swimming
20,Matheus Martini,"Sao Paulo, Brazil",The Bolles School,2013,swimming
21,Jack Murfee,"Nashville, Tenn.",Montgomery Bell Academy,2013,swimming
22,Luke Papendick,"Kinnelon, N.J.",Kinnelon,2013,swimming
23,Jake Pearce,"Tulsa, Okla.",Jenks,2013,swimming
24,Brad Phillips,"Herndon, Va.",Oakton,2013,swimming
25,Charlie Putnam,"McLean, Va.",McLean,2013,swimming
26,Austin Quinn,"Chagrin Falls, Ohio",Chagrin Falls,2013,swimming
27,Charlie Rommel,"East Amherst, N.Y.",Maryland,2013,swimming
28,Jordan Sacks,"Wilmette, Ill.",New Trier,2013,swimming
29,Colby Shinholser,"Burtonsville, Md.",Springbrook,2013,swimming
30,Greg Stoffa,"Manassas, Va.",Osbourn Park,2013,swimming
31,Adam Whitener,"Saline, Mich.",Saline,2013,swimming
0,Jake Bowtell,"Darien, Conn.",,2014,swimming
1,Carl Buergler,"Arlington, Va.",Washington-Lee,2014,swimming
2,Zach Bunner,"Marietta, Ga.",Lassiter,2014,swimming
3,Brendan Casey,"Santa Monica, Calif.",Santa Monica,2014,swimming
4,John Denning,"Chesapeake, Va.",Great Bridge,2014,swimming
5,Kyle Dudzinski,"Pittsburgh, Pa.",Upper St. Clair,2014,swimming
6,Rodney Fentress,"Virginia Beach, Va.",Atlee,2014,swimming
7,Luke Georgiadis,"Jacksonville, Fla.",The Bolles School,2014,swimming
8,Eric Holden,"Orange, Conn.",Amity Regional,2014,swimming
9,Yannick Kaeser,"Mumpf, Switzerland",Gymnasium Baeumlihof,2014,swimming
10,JB Kolod,"Pittsburgh, Pa.",Fox Chapel,2014,swimming
11,Robert Leasure,"Louisville, Ky.",St. Xavier,2014,swimming
12,Matt Lockman,"Charlottesville, Va.",Albemarle,2014,swimming
13,Nicholas Magana,"Scottsdale, Ariz.",Desert Mountain,2014,swimming
14,Matheus Martini,"Sao Paulo, Brazil",The Bolles School,2014,swimming
15,Jake Pearce,"Tulsa, Okla.",Jenks,2014,swimming
16,Henrik Pohlmann,"Beavercreek, Ohio",Beavercreek,2014,swimming
17,Charlie Putnam,"McLean, Va.",McLean,2014,swimming
18,Austin Quinn,"Chagrin Falls, Ohio",Chagrin Falls,2014,swimming
19,Charlie Rommel,"East Amherst, N.Y.",Maryland,2014,swimming
20,Jordan Sacks,"Wilmette, Ill.",New Trier,2014,swimming
21,Colby Shinholser,"Burtonsville, Md.",Springbrook,2014,swimming
22,Greg Stoffa,"Manassas, Va.",Osbourn Park,2014,swimming
23,Omer Tara,"Istanbul, Turkey",ENKA High School,2014,swimming
24,Adam Whitener,"Saline, Mich.",Saline,2014,swimming
0,Alex Albracht,"Mission Hills, Kan.",Rockhurst,2015,swimming
1,Jake Bowtell,"Darien, Conn.",,2015,swimming
2,Carl Buergler,"Arlington, Va.",Washington-Lee,2015,swimming
3,Brendan Casey,"Santa Monica, Calif.",Santa Monica,2015,swimming
4,John Denning,"Chesapeake, Va.",Great Bridge,2015,swimming
5,Rodney Fentress,"Virginia Beach, Va.",Atlee,2015,swimming
6,Zach Fong,"Moorestown, N.J.",Moorestown,2015,swimming
7,Luke Georgiadis,"Jacksonville, Fla.",The Bolles School,2015,swimming
8,Dan Golczewski,"Bel Air, Md.",Patterson Mill,2015,swimming
9,Brandon Goldstein,"Gaithersburg, Md.",Georgetown Prep,2015,swimming
10,Eric Holden,"Orange, Conn.",Amity Regional,2015,swimming
11,Matthew Hrabchak,"Concord, Mass.",Deerfield Academy,2015,swimming
12,Yannick Kaeser,"Mumpf, Switzerland",Gymnasium Baeumlihof,2015,swimming
13,Bryce Keblish,"Fairfield, Conn.",Fairfield Prep,2015,swimming
14,Gust Kouvaris,"Troy, Mich.",Brother Rice,2015,swimming
15,Robert Leasure,"Louisville, Ky.",St. Xavier,2015,swimming
16,Matt Lockman,"Charlottesville, Va.",Albemarle,2015,swimming
17,Nicholas Magana,"Scottsdale, Ariz.",Desert Mountain,2015,swimming
18,Sam Magnan,"Bethlehem, Pa.",Freedom,2015,swimming
19,Matheus Martini,"Sao Paulo, Brazil",The Bolles School,2015,swimming
20,Henrik Pohlmann,"Beavercreek, Ohio",Beavercreek,2015,swimming
21,Austin Quinn,"Chagrin Falls, Ohio",Chagrin Falls,2015,swimming
22,Jordan Sacks,"Wilmette, Ill.",New Trier,2015,swimming
23,Colby Shinholser,"Burtonsville, Md.",Springbrook,2015,swimming
24,Greg Stoffa,"Manassas, Va.",Osbourn Park,2015,swimming
25,Omer Tara,"Istanbul, Turkey",ENKA High School,2015,swimming
26,Murat Yildirim,"Istanbul, Turkey",Kabatas Erkek,2015,swimming
0,Alex Albracht,"Mission Hills, Kan.",Rockhurst,2016,swimming
1,Ryan Baker,"Arlington, Va.",,2016,swimming
2,Brendan Casey,"Santa Monica, Calif.",Santa Monica,2016,swimming
3,Joe Clark,"Worcester Park, Great Britain",,2016,swimming
4,John Denning,"Chesapeake, Va.",Great Bridge,2016,swimming
5,Zach Fong,"Moorestown, N.J.",Moorestown,2016,swimming
6,Luke Georgiadis,"Jacksonville, Fla.",The Bolles School,2016,swimming
7,Dan Golczewski,"Bel Air, Md.",Patterson Mill,2016,swimming
8,Brandon Goldstein,"Gaithersburg, Md.",Georgetown Prep,2016,swimming
9,Matthew Hrabchak,"Concord, Mass.",Deerfield Academy,2016,swimming
10,Bryce Keblish,"Fairfield, Conn.",Fairfield Prep,2016,swimming
11,Henry Keel,"Memphis, Tenn.",,2016,swimming
12,Gust Kouvaris,"Troy, Mich.",Brother Rice,2016,swimming
13,Robert Leasure,"Louisville, Ky.",St. Xavier,2016,swimming
14,Matt Lockman,"Charlottesville, Va.",Albemarle,2016,swimming
15,Sam Magnan,"Bethlehem, Pa.",Freedom,2016,swimming
16,Samson Miller,"Fairfax, Va.",Fairfax,2016,swimming
17,Jared Norton,"Newport News, Va.",Hampton Roads Academy,2016,swimming
18,Austin Quinn,"Chagrin Falls, Ohio",Chagrin Falls,2016,swimming
19,Jason Quinn,"Chagrin Falls, Ohio",Chagrin Falls,2016,swimming
20,Ted Schubert,"Ashland, Va.",Patrick Henry,2016,swimming
21,Bryce Shelton,"Vienna, Va.",George C. Marshall,2016,swimming
22,Nick Switzer,"Palmyra, Va.",Woodberry Forest,2016,swimming
23,Omer Tara,"Istanbul, Turkey",ENKA High School,2016,swimming
24,Kyle Ward,"Bartlesville, Okla.",Bartlesville,2016,swimming
25,Jacob Wells,"Henrico, Va.",Tucker,2016,swimming
26,John Whiteside,"Fairfield, Conn.",Fairfield Ludlowe,2016,swimming
0,Alex Albracht,"Mission Hills, Kan.",Rockhurst,2017,swimming
1,Ryan Baker,"Arlington, Va.",,2017,swimming
2,Keefer Barnum,"Louisville, Ky.",Saint Xavier,2017,swimming
3,Brendan Casey,"Santa Monica, Calif.",Santa Monica,2017,swimming
4,Joe Clark,"Worcester Park, Great Britain",,2017,swimming
5,Zach Fong,"Moorestown, N.J.",Moorestown,2017,swimming
6,Luke Georgiadis,"Jacksonville, Fla.",The Bolles School,2017,swimming
7,Tristan Gess,"Lakewood, Colo.",Green Mountain,2017,swimming
8,Robby Giller,"Wilton, Conn.",Wilton,2017,swimming
9,Dan Golczewski,"Bel Air, Md.",Patterson Mill,2017,swimming
10,Brandon Goldstein,"Gaithersburg, Md.",Georgetown Prep,2017,swimming
11,Bryce Keblish,"Fairfield, Conn.",Fairfield Prep,2017,swimming
12,Henry Keel,"Memphis, Tenn.",,2017,swimming
13,Gust Kouvaris,"Troy, Mich.",Brother Rice,2017,swimming
14,Sam Magnan,"Bethlehem, Pa.",Freedom,2017,swimming
15,Matthew Otto,"Newark, Del.",Salesianum,2017,swimming
16,Jason Quinn,"Chagrin Falls, Ohio",Chagrin Falls,2017,swimming
17,Samuel Schilling,"Excelsior, Minn.",Minnetonka,2017,swimming
18,Ted Schubert,"Ashland, Va.",Patrick Henry,2017,swimming
19,Bryce Shelton,"Vienna, Va.",George C. Marshall,2017,swimming
20,Omer Tara,"Istanbul, Turkey",ENKA High School,2017,swimming
21,Jacob Wells,"Henrico, Va.",Tucker,2017,swimming
22,John Whiteside,"Fairfield, Conn.",Fairfield Ludlowe,2017,swimming
23,Cooper Wozencraft,"Houston, Texas",Memorial,2017,swimming
0,Alex Albracht,"Mission Hills, Kan.",Rockhurst,2018,swimming
1,Ryan Baker,"Arlington, Va.",,2018,swimming
2,Keefer Barnum,"Louisville, Ky.",Saint Xavier,2018,swimming
3,Brendan Casey,"Santa Monica, Calif.",Santa Monica,2018,swimming
4,Joe Clark,"Worcester Park, Great Britain",,2018,swimming
5,Walker Creedon,"Cary, N.C.",Green Hope,2018,swimming
6,Nico Ferrara,"Fort Lauderdale, Fla.",Pine Crest,2018,swimming
7,Zach Fong,"Moorestown, N.J.",Moorestown,2018,swimming
8,Tristan Gess,"Lakewood, Colo.",Green Mountain,2018,swimming
9,Robby Giller,"Wilton, Conn.",Wilton,2018,swimming
10,Dan Golczewski,"Bel Air, Md.",Patterson Mill,2018,swimming
11,Brandon Goldstein,"Gaithersburg, Md.",Georgetown Prep,2018,swimming
12,Jake Greenberg,"Laguna Niguel, Calif.",Dana Hills,2018,swimming
13,Justin Grender,"Cincinnati, Ohio",Saint Xavier,2018,swimming
14,Bryce Keblish,"Fairfield, Conn.",Fairfield Prep,2018,swimming
15,Henry Keel,"Memphis, Tenn.",,2018,swimming
16,Connor Killion,"Huntingdon Valley, Pa.",Lower Moreland,2018,swimming
17,Gust Kouvaris,"Troy, Mich.",Brother Rice,2018,swimming
18,Sam Magnan,"Bethlehem, Pa.",Freedom,2018,swimming
19,Matthew Otto,"Newark, Del.",Salesianum,2018,swimming
20,Jason Quinn,"Chagrin Falls, Ohio",Chagrin Falls,2018,swimming
21,Oliver Rus,"Norwalk, Conn.",Fairfield College Preparatory,2018,swimming
22,Samuel Schilling,"Excelsior, Minn.",Minnetonka,2018,swimming
23,Ted Schubert,"Ashland, Va.",Patrick Henry,2018,swimming
24,Bryce Shelton,"Vienna, Va.",George C. Marshall,2018,swimming
25,Casey Storch,"Great Falls, Va.",Langley,2018,swimming
26,Jacob Wells,"Henrico, Va.",Tucker,2018,swimming
27,Cooper Wozencraft,"Houston, Texas",Memorial,2018,swimming
0,Ryan Baker,"Arlington, Va.",,2019,swimming
1,Keefer Barnum,"Louisville, Ky.",Saint Xavier,2019,swimming
2,Joe Clark,"Worcester Park, Great Britain",,2019,swimming
3,Sean Conway,"Round Hill, Va.",Loudoun Valley,2019,swimming
4,Walker Creedon,"Cary, N.C.",Green Hope,2019,swimming
5,Max Edwards,"Winston-Salem, N.C.",Ronald Wilson Reagan,2019,swimming
6,Nico Ferrara,"Fort Lauderdale, Fla.",Pine Crest,2019,swimming
7,Josh Fong,"Moorestown, N.J.",Moorestown,2019,swimming
8,Tristan Gess,"Lakewood, Colo.",Green Mountain,2019,swimming
9,Jake Greenberg,"Laguna Niguel, Calif.",Dana Hills,2019,swimming
10,Justin Grender,"Cincinnati, Ohio",Saint Xavier,2019,swimming
11,Daniel Gyenis,"Herndon, VA",Oakton High School,2019,swimming
12,Henry Keel,"Memphis, Tenn.",,2019,swimming
